name,plus_shipping,price
"Nike Men's White/White-Cool Grey Monarch IV Sneakers Shoes, 415445-100",+$87.44 shipping,$67.00
Nike Mens Court Vision Low Next Nature Sneakers Shoes in White/Black DH2987-101,+$87.17 shipping,$55.00
NIKE REVOLUTION 6 NEXT NATURE MEN'S RUNNING SHOES DC3728-402 Blue Grey White,+$87.01 shipping,$47.77
"Nike Mens Court Vision LO Sneakers Shoes in White/Black, CD5463-101",+$87.22 shipping,$57.00
Nike Air Force 1 Custom Shoes Black Shoes White Line Splatter Sneakers All Sizes,+$91.71 shipping,$208.94 to $256.44
New NIKE Air Max SC Athletic Sneakers shoes casual Mens white red navy 8-10.5,+$99.95 shipping,$89.95
🔥NIKE AIR JORDAN 1 LOW SE CONCORD SPACE JAM DV1309-100 / DV1333-100 MEN/GS NEW,+$104.04 shipping,$124.99 to $199.99
Mens NIKE AIR MAX 90 White/Game Royal/Photon Dust/Black FN6843-100 Shoes,+$100.87 shipping,$154.99
Nike COURT VISION LO Men's All White DJ6260-100 Athletic Sneaker Shoes,+$87.29 shipping,$59.95
Men Nike Giannis Immortality Basketball Shoes Black/Clear Anthracite CZ4099-009,+$87.58 shipping,$72.99 to $74.99
NEW Nike AIR MAX 90 G Men's GOLF Shoes ALL COLORS US Sizes 7-14 NEW IN BOX,+$108.85 shipping,$124.99 to $144.99
NEW Nike AIR MAX 95 Men's Casual Shoes ALL COLORS US Sizes 7-14 NEW IN BOX,+$109.53 shipping,$129.99 to $179.99
Nike Men Air Max Impact 4 Basketball Shoes Sneaker,+$97.95 shipping,$89.99 to $99.99
"Nike Mens Air Max SC Training Sneakers Shoes in Black/Black/White,CW4555-002",+$87.51 shipping,$70.00
Nike Air Max 2 CB 94 OG Black White Purple FQ8233-001 Airmax Shoes Sneakers,+$25.00 shipping,$246.99
Nike PRECISION 6 Mens Black Red DD9535-002 Athletic Basketball Sneakers Shoes,+$87.40 shipping,$64.95
Nike Air Jordan 3 III Retro Black Cement 2011 - Black/Red/Cement Grey- Size 9.5,+$102.82 shipping,$86.00
Nike Air Jordan 1 Retro High OG Chicago Lost & Found FD1412-612 PS Sizes,+$88.30 shipping,$104.95
Nike Air Zoom Tempo Next% Flyknit Mens Running Shoes Athletic Shoes Sneakers,+$44.13 shipping,$121.38
Nike REVOLUTION 6 NN Mens Blue Navy DC3728-401 Medium Athletic Running Shoes,+$87.02 shipping,$47.95
[FJ4434-491] Mens Nike AIR FORCE 1 LOW 'WEST COAST LOS ANGELES',+$88.64 shipping,$119.99
Nike Air Max SC Men's Low Top Athletic Gym Workout Running Walking Sneakers,+$97.84 shipping,$84.99
Nike Mens ZoomX Invincible Run FK 3 White Running Shoes,+$89.85 shipping,$173.99
Nike Air Max Vapormax Plus Obsidian Photo Blue Black 924453-401 Men's,+$89.31 shipping,$149.99
Men Nike Air Max Bolt Running/Training Shoes Sneakers Triple Black CU4151-001,+$87.62 shipping,$69.99 to $74.99
Nike Air Max 97 White Gum Bottom Light Brown DJ2740-100 Men's Retro Running,+$89.09 shipping,$139.99 to $169.99
Size 8 Men’s - Nike Air Max 270 Low White,+$99.61 shipping,$54.40
Nike Air Max 2017 Black and white Men's Shoes,+$89.20 shipping,$145.00
"Nike Air Force 1 Low Triple White ‘07 BRAND NEW, MEN AND WOMEN SIZES.",+$42.74 shipping,$84.99
"Nike Mens Revolution 6 NN Extra Wide Running Shoes,Black/Wht-IronGrey,DD8475-003",+$87.11 shipping,$52.00
NEW NIKE COURT LEGACY NEXT NATURE Men's Casual Shoes ALL COLORS,+$102.24 shipping,$79.99 to $89.99
NEW Nike AIR MAX 270 Men's White Midnight Navy Red US Sizes - DJ5172-100,+$102.16 shipping,$129.99
Nike Air Jordan 1 Mid SE 'White Ice Blue' DV1308-104,+$89.09 shipping,$139.99 to $149.99
Lot Of 2 Nike Mens Lebron X Heat Home Cutting Jade Basketball Shoes Size 13,+$100.01 shipping,$3.25
Nike Air VaporMax Flyknit 3 White-Size 8-11 Men's Shoes,+$89.81 shipping,$172.36
Nike×Air Max Scorpion 2022 New men's shoes Free shipping,+$90.21 shipping,$190.00
Nike Air Force 1 Low Leather Reversed Bred Toe Black Jordan Classic All Sizes,+$88.85 shipping,$185.00
Nike×Air Max Scorpion 2022 FD4319-101 New men's shoes,+$90.21 shipping,$190.00
Nike Go Flyease Black Lime Glow Multicolor Grey CW5883-004 sz 10 Men's,+$88.19 shipping,$100.00
Nike Air Force 1 '07 White Light Photo Blue - New Men's Shoes - Size 9,+$87.62 shipping,$75.00
Nike Cortez Basic Mens Size 9 Black White Nylon Suede Casual Shoes Sneakers,+$99.62 shipping,$55.00
Nike Air Max 2017 blue Men's Shoes,+$89.20 shipping,$145.00
Nike Men's LeBron Witness IV Basketball Shoes 100% Authentic,+$87.24 shipping,$57.99
2007 Nike Air Force 1 Shoes Sneakers Men's Size 13 #315122 162 w/ Original Box,+$102.43 shipping,$6.50
Nike SB x Air Jordan 4 “Pine Green”DR5415-103 Men's Basketball shoes,+$94.22 shipping,$368.26
NEW Nike Air Monarch IV White Blue Silver Shoes (415455-102) Men's Size 9.5-12,+$87.35 shipping,$62.99
Nike Air Max 1 Travis Scott Cactus Jack Baroque Brown: DO9392-200 All Sizes,+$92.01 shipping,$215.00 to $375.00
Nike Air Force 1 Low Leather Black Red Swoosh Classic All Sizes,+$88.85 shipping,$185.00 to $195.00
Nike Air Max Scorpion White Men's Sneaker Shoes,+$90.39 shipping,$198.00
NIKE DUNK LOW BLACK WHITE PANDA MEN DD1391-100 MEN SIZES 8-15 100% AUTHENTIC DS,+$104.04 shipping,$139.99
Nike×Air Max Scorpion 2022 FJ7736-141 New men's shoes,+$90.21 shipping,$190.00
[DC8887-100] Mens Nike Air Force 1 Low '07 QS 'UNO',+$88.86 shipping,$129.99 to $139.99
Nike Air More Uptempo Slide Triple White Red Black FB7815-100 Men's US Size 9-15,+$87.65 shipping,$75.97
NIKE Men SIZE 11-BLACK/WHITE-VIALE Pair of Shoes,+$86.69 shipping,$33.65
[FB8916-100] Mens Nike AIR MAX 1 PREMIUM 'SHIMA SHIMA (2023)',+$88.23 shipping,$101.99 to $124.99
Nike Air Jordan III 3 White Flip Size 10 100% Authentic,+$106.90 shipping,$0.01
Size 9 Men's Nike Air Griffey Max 1 Basketball Shoes DO6684-700 Wheat/Polleen,+$101.47 shipping,$67.96
Nike Air VaporMax Flyknit 3 Grey-Men's-Size 8-11-Shoes,+$89.81 shipping,$172.39
NIKE MENS KD TREY 5 X BASKETBALL SNEAKER SHOE,+$98.18 shipping,$99.99
New NIKE Waffle Debut Athletic Sneakers shoes casual Mens navy white all sizes,+$99.95 shipping,$89.95
